#,Song,Artist,Popularity,Genres,Parent Genres,Album,Album Year,Time,Added At
41,DYSTOPIA 99,"AIKA,I-YU",21,"future bass, kawaii future bass,",Dance/Electronic,QUIXOTIC,2020,3:43,2021-03-12
42,Nana,Geoxor,45,"gaming edm, speedrun",Dance/Electronic,Stardust,2019,4:11,2021-03-12
43,Restart,Geoxor,37,"gaming edm, speedrun",Dance/Electronic,Stardust,2019,3:49,2021-03-12
44,Lollipop,Geoxor,34,"gaming edm, speedrun",Dance/Electronic,Stardust,2019,3:23,2021-03-12
45,Twilight,Geoxor,39,"gaming edm, speedrun",Dance/Electronic,Twilight,2020,2:53,2021-03-12
46,Galaxy,Geoxor,51,"gaming edm, speedrun",Dance/Electronic,Galaxy,2021,3:37,2021-03-12
47,Euphoria,Geoxor,45,"gaming edm, speedrun",Dance/Electronic,Stardust,2019,3:02,2021-03-12
48,Moneko,Geoxor,47,"gaming edm, speedrun",Dance/Electronic,Moneko,2020,2:48,2021-03-12
49,Colorblind,Panda Eyes,55,"edm, gaming edm, speedrun",Dance/Electronic,KIKO,2015,4:49,2021-03-12
50,Fuck Off,Panda Eyes,39,"edm, gaming edm, speedrun",Dance/Electronic,KIKO,2015,4:30,2021-03-12
51,Second Life,Panda Eyes,18,"edm, gaming edm, speedrun",Dance/Electronic,Continue,2017,4:43,2021-03-12
52,Devil,Barren Gates,62,"bass trap, gaming edm, traprun",Dance/Electronic,Devil,2019,2:56,2021-03-12
53,Never Letting Go,NIVERSO,44,lithuanian edm,,Never Letting Go,2020,2:55,2021-03-12
54,On the Hunt,"Neo Noir,Krigarè",30,"pop edm,",,On the Hunt,2018,3:49,2021-03-12
55,Shaii,Geoxor,39,"gaming edm, speedrun",Dance/Electronic,Stardust,2019,4:22,2021-03-12
56,Lucid Dream,"Panda Eyes,Geoxor",46,"edm, gaming edm, speedrun",Dance/Electronic,Lucid Dream,2019,5:21,2021-03-12
57,Faerie,Geoxor,45,"gaming edm, speedrun",Dance/Electronic,Faerie,2020,4:03,2021-03-12
58,Woosh,Geoxor,33,"gaming edm, speedrun",Dance/Electronic,Irreversible,2017,4:05,2021-03-12
59,Gloom,Geoxor,48,"gaming edm, speedrun",Dance/Electronic,Irreversible,2017,2:45,2021-03-12
60,Stardust,Geoxor,50,"gaming edm, speedrun",Dance/Electronic,Stardust,2019,4:21,2021-03-12
61,Virtual,Geoxor,46,"gaming edm, speedrun",Dance/Electronic,Virtual,2020,5:15,2021-03-12
62,You & I,Geoxor,47,"gaming edm, speedrun",Dance/Electronic,You & I,2016,3:07,2021-03-12
63,Dead - DnB Version,Normandie,34,"modern alternative rock, post-screamo",Rock,White Flag (Reimagined),2019,4:06,2021-03-12
64,Nice Girl,Syence,45,pop edm,,Nice Girl,2018,3:02,2021-03-12
65,Cold Skin - Koven Remix,"Seven Lions,Echos,Koven",34,"dubstep, edm, electro house, future bass, pop dance, pop edm, progressive trance, electropop, indie electropop, indie poptimism, chillstep, gaming edm, melodic dubstep","Dance/Electronic, Pop",Cold Skin (The Remixes),2017,3:47,2021-03-12
66,Can't Escape,"Yawdel,Laurent John",36,,,Can't Escape,2020,3:14,2021-03-12
67,I Wonder How It'll End,Stratus,34,dubstep,Dance/Electronic,I Wonder How It'll End,2018,3:56,2021-03-12
68,Reason,Villent,33,,,Reason,2020,2:49,2021-03-12
69,Take It,"Unknown Brain,ThatBehavior,RIELL,J.O.Y",46,"bass trap, gaming edm, traprun, trap soul","Dance/Electronic, R&B",Take It,2019,2:37,2021-03-12
70,Never Gonna Fail,Killrude,38,,,Never Gonna Fail,2019,3:11,2021-03-12
71,The Wall - Buunshin Remix,"ABIS,Signal,Tasha Baxter,Buunshin",43,dutch dnb,Dance/Electronic,The Wall (Buunshin Remix) / If U (Synergy Remix),2019,5:40,2021-03-12
72,Coyote,Mako,43,"edm, electro house, electropop, indie poptimism, pop dance, pop edm, progressive electro house, tropical house","Dance/Electronic, Pop",Fable,2020,3:52,2021-03-12
73,Waiting (feat. Olivia Lunny),"WE ARE FURY,Olivia Lunny",30,"bass trap, future bass, melodic dubstep, pop edm, traprun, manitoba indie","Dance/Electronic, Folk/Acoustic",Waiting (feat. Olivia Lunny),2017,3:21,2021-03-12
74,Future Vibes,"K.Safo,Alex Skrindo,Stewart Wallace",36,"gaming edm,",Dance/Electronic,Future Vibes,2015,3:54,2021-03-12
75,The Gold Line,Swardy,39,,,The Gold Line / Solar Express,2019,5:12,2021-03-12
76,Unbreakable,"Lucha,RYVN",46,"arab trap, traprun,",Dance/Electronic,Unbreakable,2020,2:29,2021-03-12
77,yes & no,XYLØ,64,"electropop, indie electropop, indie poptimism, la pop, pop, vapor soul","Pop, Dance/Electronic",yes & no,2019,2:58,2021-03-12
78,Eye For An Eye,8 Graves,41,"indie poptimism, rebel blues","Pop, Blues",Red,2020,3:25,2021-03-12
79,Whole Again,FIRST,35,,,Morning Light,2019,3:39,2021-03-12
80,Cosmic,"Jordan Schor,Nathan Brumley",42,,,Cosmic,2017,4:08,2021-03-12
81,Walk Through the Fire,"Zayde Wølf,Ruelle",55,"modern alternative rock, rebel blues, electropop, indie poptimism, metropopolis, pop","Pop, Dance/Electronic, Rock, Blues",Golden Age,2016,3:36,2021-03-12
82,10 Million Thoughts,"Catas,Alyssa Robi",36,,,10 Million Thoughts,2020,4:24,2021-03-12
83,Your Echo,Plastic Patina,35,,,Cosmic Cartographer,2020,2:32,2021-03-12
84,Overgrown,machineheart,40,"electropop, indie electropop, indie poptimism, vapor soul","Pop, Dance/Electronic",People Change,2019,5:31,2021-03-12
85,When I'm Okay,"Crystal Knives,Sarah de Warren,Eru Matsumoto",23,"indie electropop,",Pop,When I'm Okay,2019,3:39,2021-03-12
86,runaway,Vorsa,36,,,runaway,2019,3:19,2021-03-12
87,HiGHER,WiDE AWAKE,43,"bass trap, traprun",Dance/Electronic,HiGHER,2020,3:32,2021-03-12
88,Ransom,"Moilatch,braev",32,"traprun,",Dance/Electronic,Ransom,2020,2:59,2021-03-12
89,Holystone,Phantom Sage,38,gaming edm,Dance/Electronic,Holystone,2016,6:45,2021-03-12
90,Too Late,"Folded Dragons,Aloma Steele",41,,,Too Late,2019,3:58,2021-03-12
91,Realms,"Hinkik,A Himitsu",41,"gaming edm, speedrun,",Dance/Electronic,Realms,2017,3:35,2021-03-12
92,In My Head,NeoTune!,33,,,In My Head,2016,3:24,2021-03-12
93,This Is the Future,Epic North,38,epicore,Easy listening,Viking Warriors from Outer Space,2013,3:52,2021-03-12
94,Hold On,Diamond Eyes,44,gaming edm,Dance/Electronic,Hold On,2018,3:57,2021-03-12
95,Delineate,Danny Olson,29,pop edm,,Delineate,2019,3:38,2021-03-12
96,Genesis,Arkana,29,melodic dubstep,Dance/Electronic,Genesis,2015,5:11,2021-03-12
97,Just Like Me,The Tech Thieves,27,"bass trap, modern alternative rock, traprun","Dance/Electronic, Rock",The Blue EP,2020,2:42,2021-03-12
98,Golden Throne,The Tech Thieves,28,"bass trap, modern alternative rock, traprun","Dance/Electronic, Rock",The Red EP,2019,2:40,2021-03-12
99,Anxiety,"Besomorph,The Tech Thieves",48,"bass trap, slap house, traprun, modern alternative rock","Dance/Electronic, Rock",Anxiety,2020,2:54,2021-03-12
100,What's Love - RMND Remix,"The Tech Thieves,RMND",22,"bass trap, modern alternative rock, traprun","Dance/Electronic, Rock",What's Love (The Remixes),2018,3:04,2021-03-12
101,I'm Coming,The Tech Thieves,37,"bass trap, modern alternative rock, traprun","Dance/Electronic, Rock",I'm Coming,2017,3:15,2021-03-12
102,Heart Made of Stone,The Tech Thieves,41,"bass trap, modern alternative rock, traprun","Dance/Electronic, Rock",The Red EP,2019,2:38,2021-03-12
103,Lighthouse,The Tech Thieves,35,"bass trap, modern alternative rock, traprun","Dance/Electronic, Rock",The Blue EP,2020,2:21,2021-03-12
104,Play With Fire (Alternate Version),"Sam Tinnesz,Ruelle,Violents",37,"indie poptimism, modern rock, rebel blues, electropop, metropopolis, modern alternative rock, pop, springfield mo indie","Pop, Dance/Electronic, Rock, Blues, Folk/Acoustic",Babel: The Ruins,2018,2:42,2021-03-12
105,City Nights (feat. Peter Jessy),"RetroBlue,Peter Jessy",34,"canadian electronic,",Dance/Electronic,City Nights (feat. Peter Jessy),2017,4:27,2021-03-12
106,War (Epic Trailer Version),"J2,Maddi Lasker",26,"rebel blues,",Blues,"The Iconic Series, Vol. 7",2018,3:18,2021-03-12
107,Alive,Snavs,31,"bass trap, danish electronic, electro house, electronic trap, future bass, pop edm, traprun, vapor twitch",Dance/Electronic,Alive,2019,3:03,2021-03-12
108,Supersonics - Out Come The Freaks Edit,Caravan Palace,39,"electro swing, nu jazz","Easy listening, Dance/Electronic",Supersonics (Out Come the Freaks Edit),2020,2:53,2021-03-12
109,Feel,Gidexen,30,traprun,Dance/Electronic,Feel / Hiding Away,2020,2:40,2021-03-12
110,Atlas - Live at Abbatiale,Faux Tales,8,"chillstep, future bass, melodic dubstep",Dance/Electronic,Atlas (Live at Abbatiale),2020,5:04,2021-03-12
111,Decoy World,"INTERCOM,Park Avenue",42,"gaming edm,",Dance/Electronic,Decoy World,2017,3:51,2021-03-12
112,Area 51,Barren Gates,32,"bass trap, gaming edm, traprun",Dance/Electronic,Area 51,2019,3:00,2021-03-12
113,Once Again,Matsirt,46,gaming edm,Dance/Electronic,Monstercat 016 - Expedition,2014,3:39,2021-03-12
114,Sky Fracture,Getsix,37,speedrun,,Sky Fracture,2017,5:10,2021-03-12
115,Jumble,Rolipso,42,slap house,,Jumble,2017,3:09,2021-03-12
116,Dead Homies Go to Space - Kuoga. Remix,"Palmboi,Kuoga.",42,traprun,Dance/Electronic,Dead Homies Go to Space (Kuoga. Remix),2019,3:15,2021-03-12
117,The End,"Beatcore,Ashley Apollodor",31,"future bass, gaming edm, melodic dubstep, pop edm,",Dance/Electronic,The End,2017,4:28,2021-03-12
118,Synthesized Angel,Sakuzyo,41,rhythm game,Dance/Electronic,AngelFalse,2016,3:45,2021-03-12
119,Infected,Tommy Jayden,37,"dutch edm, pop edm",Dance/Electronic,Infected,2016,3:56,2021-03-12
120,Trampoline,Facading,38,,,Trampoline,2020,3:05,2021-03-12
121,Heroes,"Nonsens,Tobias Stenkjær",37,"danish electronic, electro house, electronic trap, gaming edm, danish singer-songwriter","Dance/Electronic, Folk/Acoustic",Heroes,2019,3:20,2021-03-12
122,Insidious,"TRVNSPORTER,Adro",45,"traprun,",Dance/Electronic,Insidious,2020,3:01,2021-03-12
123,Somebody Else - TWINSICK Remix,"TELYKast,JORDY,TWINSICK",49,"pop edm,",,Somebody Else (TWINSICK Remix),2019,4:07,2021-03-12
124,Experiences,Dimatis,21,melodic dubstep,Dance/Electronic,Experiences,2020,3:44,2021-03-12
125,Total View,Inon Zur,18,"epicore, scorecore, soundtrack, video game music",Easy listening,Virtuoso,2020,2:03,2021-03-12
126,Holding On,BH,37,melodic dubstep,Dance/Electronic,Holding On,2020,3:57,2021-03-12
127,Enslaved,"Barren Gates,M.I.M.E",59,"bass trap, gaming edm, traprun",Dance/Electronic,Enslaved,2018,4:03,2021-03-12
128,Seen,"Anikdote,The FifthGuys,Veronica Bravo",33,"gaming edm, traprun,",Dance/Electronic,Seen,2019,3:18,2021-03-12
129,Time,"Airmow,ROSA",38,"traprun,",Dance/Electronic,Time,2020,3:25,2021-03-12
130,Bright Like Hollywood,"Atom Smith,Burkey",21,"electro swing,",Easy listening,Bass Age Big Band,2020,3:56,2021-03-12
131,I Want Your Soul,Hopex,34,"bass trap, traprun, turkish trap",Dance/Electronic,I Want Your Soul,2019,3:53,2021-03-12
132,Warrior,Hopex,52,"bass trap, traprun, turkish trap",Dance/Electronic,Warrior,2018,2:51,2021-03-12
133,All The Good Girls Go To Hell,"FILV,KEAN DYSSO",29,"russian dance, g-house, lithuanian edm",Dance/Electronic,All The Good Girls Go To Hell,2020,3:23,2021-03-12
134,Hollywood's Bleeding,"Egzod,Mary Sweet",40,"bass trap, gaming edm, pop edm, traprun,",Dance/Electronic,Hollywood's Bleeding,2019,3:26,2021-03-12
135,Chasing Stars,SVRRIC,19,,,Endemic III,2020,3:14,2021-03-12
136,Я не можу забути тебе (Ла ла ла),United Sexi Boyz,41,,,Я не можу забути тебе (Ла ла ла),2019,3:06,2021-03-12
137,Time Lapse,Ludovico Einaudi,55,"bow pop, compositional ambient, neo-classical","Classical, New age",In A Time Lapse,2013,5:31,2021-03-12
138,Passagio,Ludovico Einaudi,51,"bow pop, compositional ambient, neo-classical","Classical, New age",Islands - Essential Einaudi,2011,5:57,2021-03-12
139,Architects of Life (feat. Celica Soldream),"Iván Torrent,Celica Soldream",26,"epicore,",Easy listening,Architects of Life (feat. Celica Soldream),2014,4:58,2021-03-12
140,Moonlight,"Kuoga.,Elko",48,"traprun, sad rap","Hip Hop, Dance/Electronic",Moonlight,2019,3:12,2021-03-12
141,Surrender (feat. Anna Yvette) - Larry Mendes Remix,"Larry Mendes,Etta Matters,Jakko,Kenshin,Zex,Anna Yvette",2,,,Surrender Remixes,2016,5:08,2021-03-12
142,Cold War,Foreign Figures,46,"modern alternative rock, utah indie",Rock,Overzealous - EP,2018,2:49,2021-03-12
143,Kingdom,Young Tribe,38,,,Kingdom,2019,3:31,2021-03-12
144,Iskatallith,Arkana,19,melodic dubstep,Dance/Electronic,Iskatallith,2020,4:50,2021-03-12
145,Einvik's Curse,Arkana,22,melodic dubstep,Dance/Electronic,Iskatallith,2020,3:02,2021-03-12
146,Murthdeep,Arkana,20,melodic dubstep,Dance/Electronic,Iskatallith,2020,2:55,2021-03-12
147,The Fallen Will Rise,Twisted Jukebox,37,epicore,Easy listening,Goddess,2014,2:21,2021-03-12
148,Smoke on the Water,2WEI,46,epicore,Easy listening,Sequels,2018,2:55,2021-03-12
149,Galaxies,Audiofire Studios,20,epicore,Easy listening,Beyond the Horizon,2015,3:39,2021-03-12
150,Listen to Your Heart,Mustafa Avşaroğlu,24,,,Legacy,2020,3:46,2021-03-12
151,Polaris,Dos Brains,19,epicore,Easy listening,A World Of Color,2020,4:56,2021-03-12
152,Netzach,Arkana,30,melodic dubstep,Dance/Electronic,Ein Sof,2018,5:07,2021-03-12
153,Malkuth,Arkana,25,melodic dubstep,Dance/Electronic,Ein Sof,2018,3:36,2021-03-12
154,Red Line,Anna Yvette,48,,,Red Line,2019,4:25,2021-03-12
155,Surrender (feat. Anna Yvette) - MorganJ Remix,"MorganJ,Etta Matters,Jakko,Kenshin,Zex,Anna Yvette",38,"hardstyle, pop edm,",Dance/Electronic,Surrender Remixes,2016,4:15,2021-03-12
156,Unforgettable,"D-WAYZZ,Elle Vee",35,,,Unforgettable,2019,3:15,2021-03-12
157,No Angel,"The Lurk,Milco Ross",17,,,No Angel,2019,2:14,2021-03-12
158,The Answer,"Kalide,Bianca",30,"pop edm,",,The Answer,2019,3:17,2021-03-12
159,Mais Non - 1920 Version,Klischée,44,"electro swing, nu jazz","Easy listening, Dance/Electronic",Mais Non (1920 Version),2017,3:11,2021-03-12
160,Geraldines Routine,Tape Five,45,"electro swing, nu jazz","Easy listening, Dance/Electronic",Swing Patrol,2012,3:08,2021-03-12
161,Light up the Night,"Jamie Berry,Robert Edwards,Andrew Griffiths,Octavia Rose",53,"electro swing, nu jazz,","Easy listening, Dance/Electronic",Light up the Night,2019,3:53,2021-03-12
162,Let's Go,"Jazzotron,Sofija Knezevic",40,"electro swing, nu jazz,","Easy listening, Dance/Electronic",Swing Revolution,2018,3:52,2021-03-12
163,Lost In The Rhythm - PiSk Remix,"Jamie Berry,Octavia Rose,Pisk",34,"electro swing, nu jazz","Easy listening, Dance/Electronic",Lost In The Rhythm Remixes,2016,3:33,2021-03-12
164,Mr Magpie - Jamie Berry Remix,"The Electric Swing Circus,Jamie Berry",22,"electro swing, nu jazz","Easy listening, Dance/Electronic",The Electric Swing Circus - Remixed Vol. 1,2018,3:44,2021-03-12
165,Golden Hour,The Electric Swing Circus,38,"electro swing, nu jazz","Easy listening, Dance/Electronic",It Flew By,2017,2:48,2021-03-12
166,Hit & Run - Wolfgang Lohr Remix,"The Electric Swing Circus,Wolfgang Lohr",18,"electro swing, nu jazz","Easy listening, Dance/Electronic",The Electric Swing Circus - Remixed Vol. 1,2018,5:16,2021-03-12
167,Telekinesis,Arkana,35,melodic dubstep,Dance/Electronic,Telekinesis,2015,4:13,2021-03-12
168,Echoes,"Domastic,Anna Yvette",47,"gaming edm,",Dance/Electronic,Echoes,2019,3:18,2021-03-12
169,What Child Is This,"Lindsey Stirling,Darius Rucker",34,"bow pop, pop violin, contemporary country, country, country road","Classical, Country, New age",What Child Is This,2020,3:31,2021-03-12
170,Rituals,Jiovanni Daniel,40,,,Snake Charmer,2019,2:54,2021-03-12
171,Light It Up,Zaitex,24,,,Light It Up,2017,3:34,2021-03-12
172,Going Down,Mike Hawkins,27,danish electronic,Dance/Electronic,Going Down,2019,3:15,2021-03-12
173,Knight,Gidexen,33,traprun,Dance/Electronic,Knight,2019,2:36,2021-03-12
174,BLOOD,KLOUD,52,"bass trap, dark clubbing, traprun",Dance/Electronic,AUTONOMY,2020,3:14,2021-03-12
175,Country Rounds (Sqeepo Remix),"Jaroslav Beck,Kings & Folk,Sqeepo",49,"speedrun,",,Beat Saber (Original Game Soundtrack),2018,2:45,2021-03-12
176,Fall,The Tech Thieves,30,"bass trap, modern alternative rock, traprun","Dance/Electronic, Rock",Fall,2020,2:51,2021-03-12
177,Bella di notte - Wolfgang Lohr Remix Radio Edit,"Free Shots,Wolfgang Lohr",19,"electro swing, nu jazz","Easy listening, Dance/Electronic",Bella di notte (Wolfgang Lohr Remix),2019,3:23,2021-03-12
178,Brokopoly,Lyre Le Temps,35,"electro swing, nu jazz","Easy listening, Dance/Electronic",Brokopoly,2018,2:18,2021-03-12
179,Play Me Like A Violin,Stephen,59,"bass trap, indie poptimism, la pop","Dance/Electronic, Pop",Play Me Like A Violin,2018,3:52,2021-03-12
180,Throne,"Urbanstep,Micah Martin",46,"bass trap, edm, gaming edm, melodic dubstep, traprun,",Dance/Electronic,"Urbanstep's Finest Compilation, Pt. 2",2018,3:46,2021-03-12
181,I Remember,"Les Friction,Emily Valentine",34,"epicore, modern alternative rock, deep talent show","Country, Easy listening, Rock",Dark Matter,2017,5:41,2021-03-12
182,Who Are You,SVRCINA,46,modern alternative pop,Rock,Svrcina,2018,3:07,2021-03-12
183,thoughts & prayers,grandson,56,"modern alternative rock, modern rock, rock",Rock,thoughts & prayers,2018,3:45,2021-03-12
184,Let You In,"Marc Straight,Ellen Rose",34,,,Iamheaven,2018,4:17,2021-03-12
185,Fly,"Frauble,Derin Rodoslu,BRAN",24,traprun,Dance/Electronic,Fly,2019,2:30,2021-03-12
186,"One For All, All For One","Razihel,Virtual Riot",35,"bass trap, complextro, edm, electro house, filthstep, gaming edm, brostep, dubstep, electronic trap, future bass, gaming dubstep",Dance/Electronic,"One For All, All For One",2013,4:20,2021-03-12
187,Alchemy (feat. RØRY),"Far Out,RØRY",45,"bass trap, gaming edm, melodic dubstep, pop edm, traprun,",Dance/Electronic,Beyond The Horizon EP,2020,4:25,2021-03-12
188,Changes,"Egzod,Fenris",45,"bass trap, gaming edm, pop edm, traprun, swedish tropical house",Dance/Electronic,Changes,2020,2:55,2021-03-12
189,These Memories,Panda Eyes,34,"edm, gaming edm, speedrun",Dance/Electronic,These Memories,2020,4:55,2021-03-12
190,Another Day,Zaitex,5,,,Another Day,2019,3:40,2021-03-12
191,Oblivion,Zaitex,17,,,Oblivion,2018,3:25,2021-03-12
192,Virtuoso,"Sace,Loneliness",39,"traprun, wave",Dance/Electronic,Virtuoso,2019,3:58,2021-03-12
193,Voodoo People,Clarx,42,gaming edm,Dance/Electronic,Voodoo People,2019,3:05,2021-03-12
194,Horizon,Zaitex,7,,,Horizon,2016,3:44,2021-03-12
195,Outlaw,"It's Different,Miss Mary",49,,,Outlaw,2017,4:20,2021-03-12
196,The Chasm - Ben Walter and Satellite Empire Remix,"Crystal Skies,Derek Joel,Satellite Empire,Ben Walter",34,"future bass, melodic dubstep, pop edm, chillstep",Dance/Electronic,The Chasm (Ben Walter and Satellite Empire Remix),2017,4:46,2021-03-12
197,Never Stop,Slaydit,32,,,Never Stop,2019,3:10,2021-03-12
198,Wildfire - Mielo Remix,"Slow Magic,Mielo",39,"chillwave, electropop, future bass, gauze pop, indie dream pop, vapor soul, vapor twitch,","Rock, Pop, Dance/Electronic",Wildfire (Remixes),2018,3:15,2021-03-12
199,Now or Never,xChenda,30,traprun,Dance/Electronic,Now or Never,2019,3:55,2021-03-12
200,Fame,"TOMYGONE,Ish",38,"bass trap, traprun,",Dance/Electronic,Fame,2017,3:12,2021-03-12
201,Murda,"Snavs,Fabian Mazur",48,"bass trap, danish electronic, electro house, electronic trap, future bass, pop edm, traprun, vapor twitch",Dance/Electronic,Murda,2016,3:34,2021-03-12
202,Ready,WiDE AWAKE,53,"bass trap, traprun",Dance/Electronic,Ready,2016,3:18,2021-03-12
203,Ark,"Star Party,Zookeepers",61,"gaming edm, bass trap",Dance/Electronic,Ark,2016,3:00,2021-03-12
204,Awake,"NOIXES,No ExpressioN",34,"bass trap, traprun,",Dance/Electronic,Awake,2018,2:28,2021-03-12
205,Creed,"Türküm,EBEN",44,"bass trap, electronic trap, traprun, turkish trap",Dance/Electronic,Creed,2016,2:46,2021-03-12
206,Downfall,"Trias,Calli Boom",40,"bass trap, traprun",Dance/Electronic,Downfall,2017,3:00,2021-03-12
207,MATAFAKA,"Unknown Brain,Marvin Divine",62,"bass trap, gaming edm, traprun, russelater",Dance/Electronic,MATAFAKA,2017,3:17,2021-03-12
208,Stars,Ahxello,39,gaming edm,Dance/Electronic,Stars,2015,3:11,2021-03-12
209,In My Head,"Ray Le Fanue,Natalie Major",19,indie electropop,Pop,In My Head,2020,3:10,2021-03-12
210,Horizon,Blackryst,19,samurai trap,,Horizon,2020,3:25,2021-03-12
211,Pain,"M.I.M.E,Saxon Davis,NOIXES",34,"bass trap, traprun",Dance/Electronic,Pain,2020,2:44,2021-03-12
